147,SDS,STEEL DRUMS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
148,SET,SET(s),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
149,SHI,SHIPPERS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
150,SHP,SHIPMENT,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
151,SHS,SHEETS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
152,SHT,SHEET,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
153,SKD,SKID,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
154,SKI,SKID(s),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
155,SM,SQUARE METRE,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
156,SMM,SQM PER MONTH,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
157,SMW,SQM PER WEEK,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
158,SP,SPOOLS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
159,SQM,SQUARE METER,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
160,STB,STEEL BOX,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
161,STC,STEEL CASE(S),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
162,STD,STEEL DRUM (S),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
163,STK,STICK(s),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
164,STP,STEEL PALLET (S),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
165,SWP,SHRINKWRAPPED PALLET(S),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
166,T/W,T/W BOXES,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
167,TAN,TANKS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
168,TIN,TINS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
169,TNE,TONNES,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
170,TON,TON,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
171,TOT,TOTES,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
172,TRI,TRIP,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
173,TRP,TRIP,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
174,TUB,TUBES,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
175,UNI,UNIT,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
176,UNT,UNITS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
177,VAC,VAC CARTON (S),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
178,VAD,VALEREX DRUMS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
179,VAL,VALEREX DRUM,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
180,VC,VENEER CASE (S),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
181,VEN,VENEER BOX,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
182,VLD,VALEREX DRUMS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
183,VP,VANEER PACKAGE (S),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
184,VPL,VENEER PALLETS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
185,W/P,W/PALLETS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
186,W/S,W/SKID,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
187,W/T,WOODEN TRAYS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
188,WBX,WOODEN BOXES,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
189,WC,WOODEN CARTON (S),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
190,WC1,WOODEN CRATE,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
191,WCA,WOODEN CASE,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
192,WCR,W/CRATE,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
193,WCS,W/CASES,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
194,WCT,WOOD CHEST,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
195,WDB,WOODEN BOX,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
196,WDC,W/CASE,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
197,WDP,WOODEN PALLETS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
198,WDR,W/CRATES,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
199,WDS,WOODEN BOXES,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
200,WK,WEEK,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
201,WO,WOODEN CASE,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
202,WP,WOODEN PACKAGE (S),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
203,WPL,WOODEN PALLET,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
204,WPP,W/PALLET,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
205,WR,WRAPS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
206,WT,WOODEN TRAY (S),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
