94,173,HA,HAWAIIAN AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
95,176,EK,EMIRATES,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
96,180,KE,KOREAN AIR,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
97,182,MA,MALEV ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
98,183,LC,VARIGLOG,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
99,185,GN,AIR GABON ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
100,186,SW,AIR NAMIBIA ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
101,191,IG,MERIDIANA ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
102,197,TC,AIR TANZANIA ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
103,200,SD,SUDAN AIRWAYS ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
104,203,5J,CEBU PACIFIC,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
105,205,NH,"ALL NIPPON AIRWAYS CO., LTD",,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
106,208,B3,BELLVIEW AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
107,209,UB,MYANMAR AIRWAYS ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
108,214,PK,PAKISTAN INTERNATIONAL AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
109,216,FC,FINNCOMM ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
110,217,TG,THAI AIRWAYS intL PUBLIC CO.LTD,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
111,218,NF,AIR VANUATU ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
112,224,FR,RYANAIR ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
113,229,KU,KUWAIT AIRWAYS,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
114,231,NG,LAUDA AIR,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
115,232,MH,MALAYSIA AIRLINES SYSTEM BHD,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
116,235,TK,TURKISH AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
117,236,BD,BMI ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
118,238,IZ,ARKIA - ISRAELI AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
119,239,MK,AIR MAURITIUS ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
120,250,HY,UZBEKISTAN AIRWAYS,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
121,253,U4,PROGRESS MULTITRADE ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
122,255,FG,ARIANA AFGHAN AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
123,257,OS,AUSTRIAN AIRLINES AG,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
124,258,MD,AIR MADAGASCAR ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
125,261,I5,COMPANGIE AERIENNE DU MALI S.A. ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
126,265,EF,FAR EASTERN AIR TRANSPORT ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
127,266,LT,LTU INTERNATIONAL AIRWAYS,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
128,267,BE,FLYBE ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
129,268,G4,ALLEGIANT AIR ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
130,285,RA,ROYAL NEPAL AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
131,288,LD,AIR HONG KONG ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
132,289,OM,MIAT - MONGOLIAN AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
133,290,BF,BLUEBIRD CARGO ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
134,297,CI,CHINA AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
135,299,6F,AEROTRANS AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
136,02Y,2Y,"",,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
137,305,B5,EAST AFRICAN SAFARI AIR EXPRESS ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
138,312,IP,ATYRAU AUE JOLY ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
139,313,7K,KOGALYMAVIA AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
140,324,SC,SHANDONG AIRLINES,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
141,328,DY,NORWEGIAN AIR SHUTTLE ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
142,348,KV,KAVMINVODYAVIA ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
143,351,XV,IVOIRE AIRWAYS ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
144,357,9C,WIMBI DIRA AIRWAYS ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
145,362,Y7,SILVERJET ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
146,368,7Y,MID AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
147,375,3K,JETSTAR ASIA AIRWAYS ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
148,380,8A,ATLAS BLUE ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
149,383,QL,AERO LANKA ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
150,384,RQ,KAM AIR ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
151,388,TR,TIGER AIRWAYS,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
152,397,G6,ANGKOR AIRWAYS ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
153,399,QB,GEORGIAN NATIONAL AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
154,406,5X,UPS AIRLINES,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
155,423,2Z,JOINT STOCK COMPANY VORONSZH AIRCRAFT ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
156,431,ID,INTERLINK AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
157,439,ZI,AIGLE AZUR ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
158,442,OF,AIR FINLAND ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
159,443,P0,PROFLIGHT COMMUTER SERVICES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
160,444,GO,KUZU AIRLINES CARGO ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
161,445,X9,CITY STAR AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
162,447,F5,COSMIC AIR ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
163,453,YX,MIDWEST AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
164,460,EB,AIR PULLMANTUR ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
165,465,4L,AIR ASTANA ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
166,469,4M,LAN ARGENTINA ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
167,475,UI,EUROCYPRIA AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
168,484,ED,AIRBLUE ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
169,486,L8,AIR LUXOR GB ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
170,491,B9,IRAN AIR TOURS ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
171,494,EZ,EVERGREEN INTERNATIONAL AIRLINES,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
172,508,QJ,JET AIRWAYS,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
173,509,Z9,AERO ZAMBIA ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
174,512,RJ,ROYAL JORDANIAN ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
175,514,G9,AIR ARABIA ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
176,515,Q8,PACIFIC EAST ASIA CARGO AIRLINES,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
177,526,WN,SOUTHWEST AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
178,532,E4,AERO ASIA INTERNATIONAL ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
179,539,TH,TRANSMILE AIR SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
180,543,9Q,PB AIR ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
181,544,LP,LAN PERU ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
182,547,2K,AEROLINEAS GALAPAGOS AEROGAL ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
183,555,SU,AEROFLOT RUSSIAN AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
184,556,9T,ACT AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
185,560,H8,DALAVIA ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
186,564,XQ,SUNEXPRESS ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
187,566,PS,UKRAINE INTERNATIONAL AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
188,567,CE,NATIONWIDE AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
189,572,9U,AIR MOLDOVA ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
190,574,4W,ALLIED AIR ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
191,589,9W,JET AIRWAYS,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
192,592,3Q,CHINA YUNNAN AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
193,596,CS,AIR MICRONESIA CARGO,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
194,599,8M,MYANMAR AIRWAYS INTERNATIONAL ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
195,603,UL,SRILANKAN AIRLINES,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
196,604,UY,CAMEROON AIRLINES ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
197,606,A9,GEORGIAN AIRWAYS ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
198,607,EY,ETIHAD AIRWAYS ,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
199,610,KK,ATLASJE,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-18 11:54:27,2023-01-18 11:54:27,
